sofascore_slug,transfermarkt_url,lig,sezon,etiket
bruno-fernandes/288205,https://www.transfermarkt.com/bruno-fernandes/profil/spieler/240306,Serie A,15/16,Central Midfield
bruno-fernandes/288205,https://www.transfermarkt.com/bruno-fernandes/profil/spieler/240306,Serie B,12/13,Central Midfield
bruno-guimaraes/866469,https://www.transfermarkt.com/bruno-guimaraes/profil/spieler/520624,Premier League,24/25,Defensive Midfield
bruno-guimaraes/866469,https://www.transfermarkt.com/bruno-guimaraes/profil/spieler/520624,Premier League,23/24,Defensive Midfield
bruno-guimaraes/866469,https://www.transfermarkt.com/bruno-guimaraes/profil/spieler/520624,Premier League,22/23,Defensive Midfield
bruno-guimaraes/866469,https://www.transfermarkt.com/bruno-guimaraes/profil/spieler/520624,Ligue 1,21/22,Defensive Midfield
bruno-guimaraes/866469,https://www.transfermarkt.com/bruno-guimaraes/profil/spieler/520624,Série A,2019,Central Midfield
bryan-mbeumo/927083,https://www.transfermarkt.com/bryan-mbeumo/profil/spieler/413039,Premier League,24/25,Right Winger
bryan-mbeumo/927083,https://www.transfermarkt.com/bryan-mbeumo/profil/spieler/413039,Premier League,23/24,Right Winger
bryan-mbeumo/927083,https://www.transfermarkt.com/bryan-mbeumo/profil/spieler/413039,Premier League,22/23,Right Winger
bryan-mbeumo/927083,https://www.transfermarkt.com/bryan-mbeumo/profil/spieler/413039,Championship,20/21,Right Winger
